"page_name","country","post_date","total_interactions","Message","URL"
"GMA News","PH",2021-11-25,15858,"Pinaaalis ng China ang BRP Sierra Madre sa Ayungin Shoal na nasa loob ng exclusive economic zone ng Pilipinas. Giit ng China, bahagi ito ng South China Sea na pag-aari nila. Sagot naman ng ating gobyerno sa China, sila ang trespassing.","https://www.facebook.com/116724526976/posts/1121454501723356"
"GMA News","PH",2020-06-15,14858,"The Philippines has no one to blame but itself for the unabated reclamation activities of China in the exclusive economic zone of the West Philippine Sea, University of the Philippines professors Clarita Carlos and Jay Batongbacal said.","https://www.facebook.com/116724526976/posts/10158915968531977"
"CNN","US",2021-03-13,12858,"For decades, China's economy has grown much faster than America's. But that trend is likely to be broken in 2021. ""The US economy is going to once again become the global locomotive,"" one economist says.","https://www.facebook.com/5550296508/posts/10161824240626509"
"CNN","US",2020-02-14,12763,"President Trump spread the dishonesty around a variety of subjects. Over a period stretching from January 27 to February 9, he made 17 false claims about health care, 15 about the economy, 15 about Democrats, and five or more about each of six additional topics: trade, energy, impeachment, China, immigration, and the military.","https://www.facebook.com/5550296508/posts/10160459103356509"
"GMA News","PH",2023-09-09,12463,"Dinikitan at halos banggain ng barko ng China ang mga barko ng Pilipinas sa pinakahuli nitong resupply mission sa Ayungin. Kuhang-kuha sa video ang panibagong pangha-harass ng 11 maritime militia vessels ng China at dalawa nilang coastguard vessel. Pero sabi ng China, wala raw permiso ang pagpasok ng ating mga barko sa lugar na sakop ng Exclusive Economic Zone ng Pilipinas.","https://www.facebook.com/100064849986224/posts/708872651284395"
"GMA News","PH",2022-07-06,12372,"Kumpiyansa ang administrasyong Marcos na makakamit ng bansa ang pinakamataas na paglago ng ekonomiya sa buong ASEAN, pati sa ibang bansa gaya ng Japan, South Korea at China. Ayon kay Finance Secretary Benjamin Diokno, magagawa raw ito ng Pilipinas sa taong ito at pati sa susunod na taon. Nilinaw niya rin ang naging pahayag kahapon ni Pangulong Bongbong Marcos na hindi raw siya makapaniwalang 6.1% ang inflation rate nitong Hunyo. Aniya, na-misunderstood lang ang pangulo. | July 6, 2022","https://www.facebook.com/116724526976/posts/10161075384416977"
"BBC News","GB",2020-04-17,12126,"The world’s second-biggest economy has suffered as coronavirus forced many factories and businesses to close.","https://www.facebook.com/228735667216/posts/10157682508357217"
"GMA News","PH",2020-09-05,12048,"Ikinatuwa ng China ang desisyon ni Pangulong Duterte na ipagpatuloy ang Sangley airport project kahit pa kasama rito ang mga Chinese firms na blacklisted sa Amerika. Kabilang sa proyektong ito ang China Communications Construction Company, na isa sa mga tumulong sa Chinese military na gumawa ng artificial islands sa South China Sea.","https://www.facebook.com/116724526976/posts/10159219388061977"
"GMA News","PH",2020-04-25,12048,"US AT JAPAN, KAKALAS NA SA CHINA? Tila maging mga bansa ay sumusunod sa social distancing. Balak na raw kasing dumistansiya o kumalas ng US at Japan sa kanilang economic ties sa bansang China. Ano kaya ang dahilan nito? Panoorin sa video!","https://www.facebook.com/116724526976/posts/10158702663216977"
"GMA News","PH",2023-01-19,11962,"Tinawag ni Pangulong Bongbong Marcos na madilim na yugto ng kanilang pamilya at pati na raw ng bansa ang pagkaka-exile nila noon sa Hawaii matapos ang 1986 EDSA People Power. Nilinaw din niyang nagbalik ang kanyang pamilya sa pulitika para maipagtanggol ang kanilang mga sarili. Sinabi 'yan ni Marcos sa panayam sa kanya sa ika-apat na araw ng World Economic Forum sa Switzerland. Dito iginiit din niyang hindi nakikipag-agawan ng teritoryo ang Pilipinas sa China. | January 19, 2023","https://www.facebook.com/116724526976/posts/10161551962346977"
"CNN","US",2021-06-09,11780,"JUST IN: The Senate has passed rare bipartisan legislation aimed at countering China's growing influence by investing more than $200 billion in American technology, science and research","https://www.facebook.com/5550296508/posts/10162062021701509"
"GMA News","PH",2020-07-14,11531,"US Secretary of State Michael Pompeo has said ""the world will not allow Beijing to treat the South China Sea as its maritime empire"" and expressed solidarity with its allies Southeast Asia. He said Beijing's claims to most of the South China Sea are ""completely unlawful."" ""This sends a very strong message to China that the Philippines, Vietnam, Malaysia, Indonesia, and Brunei have the backing of the US in protecting their exclusive economic zones (EEZ) in the South China Sea,"" Carpio said at a virtual conference.","https://www.facebook.com/116724526976/posts/10159033160191977"
"GMA News","PH",2022-06-04,11405,"Nanawagan ang tagapagsalita ng U.S. State Department sa China na sumunod sa mga obligasyon nito sa ilalim ng international law. Pagsuporta nila ito sa protesta ng DFA sa pagpapatupad ng China ng fishing ban sa South China Sea na sakop pa maging ang Exclusive Economic Zone ng Pilipinas. | June 3, 2022","https://www.facebook.com/116724526976/posts/10161010823586977"
"GMA News","PH",2021-04-05,11068,"The Palace has stopped short of calling on Chinese vessels to leave Julian Felipe Reef which is within the country’s exclusive economic zone (EEZ) on Monday even if it has maintained that the said reef belongs to the Philippines. READ: https://bit.ly/3unABCV:=:https://www.gmanetwork.com/news/news/nation/782488/philippines-stands-by-eez-rights-but-won-t-use-force-vs-chinese-vessels/story/?utm_source=GMANews&utm_medium=Facebook&fbclid=IwAR3s4rp7pq3lWKYcjTjUB1Qz4s-_vvvUAXbzJLV3YSRXdqmZGYb4ix-31rw","https://www.facebook.com/116724526976/posts/10159923904261977"
"BBC News","GB",2020-04-22,11017,"Missouri has launched a lawsuit against the Chinese government for economic losses because of the way it handled the coronavirus crisis.","https://www.facebook.com/228735667216/posts/10157703979627217"
"GMA News","PH",2023-02-25,10149,"One nautical mile na lang ang layo ng isang barko ng China Coast Guard sa BRP Sierra Madre, ayon sa Philippine Coast Guard. At tila binabalewala lang daw ng China ang paggigiit nating nasa loob sila ng exclusive economic zone ng Pilipinas. | February 25, 2023","https://www.facebook.com/116724526976/posts/10161638387231977"
"GMA News","PH",2023-09-26,9876,"Tinanggal na ng Philippine Coast Guard ang mga Boya na pinangharang ng China sa Bajo De Masinloc na nasa exclusive economic zone ng Pilipinas. Kitang kita rin ang ginagawang pagtataboy ng China Coast Guard sa mga mangingisdang Pilipino. Bisitahin ang www.gmanews.tv:=:https://www.gmanetwork.com/news/ para sa iba pang balita.","https://www.facebook.com/100064849986224/posts/720247470146913"
"GMA News","PH",2021-05-05,9743,"Chinese militia vessels at Sabina Shoal in the West Philippine Sea and the Philippines' exclusive economic zone eventually dispersed after being challenged by personnel from the Philippine Coast Guard, National Security Adviser Hermogenes Esperon says. | via Anna Felicia Bajo/GMA News Online READ: https://bit.ly/33ix65c:=:https://www.gmanetwork.com/news/news/nation/786249/esperon-chinese-militia-vessels-at-sabina-shoal-disperse-after-pcg-bfar-challenge/story/ PHOTO: Philippine Coast Guard","https://www.facebook.com/116724526976/posts/10160013732431977"
"ABC News","AU",2020-09-01,9635,"Former 7.30 host Kerry O'Brien has warned that Australia could be going down a path similar to the United States if failures in leadership are not addressed.","https://www.facebook.com/72924719987/posts/10161651664174988"
"Citizen TV Kenya","KE",2022-06-07,9273,"1.'One County, One Product' 2. 'Kazi Kwa Wote' 3. 'Fukuza Njaa' 4. 'Inua Jamii, Pesa kwa jamii' 5. 'Azimio La Kina Mama' 6. 'Hashtag Inawezekana' 7. 'Baba care' 8. “Waste not a Single Child” 9. 'Maji Kwa Kila Boma' 10. 'Administrative Continuity'","https://www.facebook.com/261061365404/posts/10166856900610405"
"GMA News","PH",2021-05-17,9188,"Former senator Juan Ponce Enrile commends President Rodrigo Duterte's handling of the West Philippine Sea issue, saying it affects the economy and security of the Philippines. Pres. Duterte notes during his weekly Talk To The People briefing that the Philippines has a great relationship with China. READ: https://bit.ly/2S10P02:=:https://www.gmanetwork.com/news/news/nation/787846/jpe-to-duterte-arbitral-award-not-meaningless-but-un-powerless-to-enforce/story/","https://www.facebook.com/116724526976/posts/10160051314331977"
"GMA News","PH",2021-07-19,8522,"May namataan na namang barko ng Chinese Navy sa loob ng ating exclusive economic zone o EEZ. Pero hindi ito pinalagpas ng Philippine Coast Guard at hindi rin tinantanan hangga't hindi lumalabas sa ating EEZ. Mag-subscribe sa GMA News YouTube channel (youtube.com/GMANews:=:https://www.youtube.com/channel/UCqYw-CTd1dU2yGI71sEyqNw) para sa pinakamalalaking balita.","https://www.facebook.com/116724526976/posts/10160228414711977"
"GMA News","PH",2022-06-01,8145,"Sa gitna ng mainit na isyu sa agawan ng teritoryo, ilang sakop ng exclusive economic zone ng Pilipinas ang isinama ng China sa ipinatutupad nilang fishing ban hanggang Agosto. Ang ilang mangingisda, takot na raw dahil itinataboy ng Chinese Coast Guard. Pero paghikayat ng gobyerno, huwag silang tumigil sa pagpalaot. | June 1, 2022","https://www.facebook.com/116724526976/posts/389309849648466"
"El Universal Online","MX",2021-08-25,8063,"Esta será la primera vez que el gobierno de EU le dé a la 4T a elegir entre China o ellos. Para el caso Huawei, la posición que ha preparado la Secretaría de Economía es de no aceptar la propuesta estadounidense. No será un tema sencillo de procesar con EU, al ver amenazada su seguridad nacional #Opinión de Javier Tejado Dondé","https://www.facebook.com/54013055680/posts/10161028967760681"
"BBC News","GB",2022-05-17,6922,"Evidence of China's economic slowdown comes as authorities have unveiled plans to lift Shanghai's strict lockdown.","https://www.facebook.com/100064620046507/posts/382408573923141"
"CNN","US",2022-02-01,6663,"China's real estate boom was based on an ""unsustainable"" model that benefited local governments and encouraged people to invest the bulk of their savings in property, investor George Soros said during a speech at Stanford University's Hoover Institution.","https://www.facebook.com/5550296508/posts/10162574522821509"
"GMA News","PH",2023-02-23,6577,"Isinapubliko ng Philippine Coast Guard ang radio challenge na natanggap ng kanilang eroplano mula sa China Coast Guard. Dito maririnig na pinapalayas sila ng mga Tsino sa bahagi ng Ayungin Shoal na nasa loob ng exclusive economic zone ng Pilipinas. | February 23, 2023","https://www.facebook.com/116724526976/posts/10161633799466977"
"GMA News","PH",2021-04-27,6466,"“President Duterte is my modern day Lapulapu, lalung-lalo na po sa kaniyang polisiya na independent foreign policy dahil ibig sabihin po niyan kaibigan natin ang lahat – wala tayong kaaway, wala po siyang sinasantong mga dayuhan,"" presidential spokesperson Harry Roque said.","https://www.facebook.com/116724526976/posts/10159991260451977"
"GMA News","PH",2020-04-22,6387,"""China has been damaging our ecosystems for over 6 years now, which means our losses could already amount to over 200 billion pesos. This money could be used to fund our health and economic plans as we transition to a new normal,"" Senator Hontiveros said in a statement.","https://www.facebook.com/116724526976/posts/10158689583056977"
"GMA News","PH",2022-06-12,6033,"ICYMI: President-elect Ferdinand “Bongbong” Marcos Jr. branded the Asian superpower, China, as the Philippines’ strongest partner.","https://www.facebook.com/116724526976/posts/10161027163081977"
"GMA News","PH",2021-05-05,6003,"Naniniwala ang ilang eksperto na mali ang sinasabi ng gobyerno na walang magagawa ang Pilipinas laban sa panghihimasok ng mga Tsino sa teritoryo ng Pilipinas sa West Philippine Sea. Patunay ang pagsita at pagpapaalis ng Philippine Coast Guard sa pitong Chinese fishing boat na ilegal na naka-angkla sa Sabina Reef sa loob ng Philippine exclusive economic zone. Bisitahin ang www.gmanews.tv:=:https://www.gmanetwork.com/news/ para sa mga balita.","https://www.facebook.com/116724526976/posts/771737476814614"
"GMA News","PH",2022-09-24,5846,"President Ferdinand ""Bongbong"" Marcos Jr. took a break from his working visit duties in America to enjoy the country's street culture. READ: https://www.gmanetwork.com/news/lifestyle/food/845891/marcos-checks-out-a-food-truck-in-new-york-city/story/ In photos shared by the Office of Speaker Martin Romualdez, Marcos could be seen snacking from a food truck in New York City. Marcos visited the US to speak before the 77th session of the United Nations General Assembly. On the sidelines of the UN General Assembly, Marcos met with US President Joe Biden where they discussed the issues on the South China Sea, the Indo-Pacific Economic Framework, the continuation of trade partnerships and defense, among others. | 📷 :Office of Speaker Martin Romualdez","https://www.facebook.com/116724526976/posts/10161218399441977"
"GMA News","PH",2020-12-05,5746,"Hindi raw napigilan ng pandemya ng China sa pag-angkin nito sa mga pinag-aagawang bahagi ng South China Sea, kabilang ang mga lugar na nasa exclusive economic zone ng Pilipinas. Base sa mga datos na nakalap ng Asia Maritime Transparency Initiative, mas madalas pa ang pagpapatrolya ngayon ng China sa West Philippine Sea.","https://www.facebook.com/116724526976/posts/388694892472788"
"GMA News","PH",2021-05-03,5502,"Malacañang on Monday cited warm relationship between the Philippines and China for the removal of some of the Chinese ships from the Julian Felipe Reef, which is within Philippines' exclusive economic zone (EEZ). ""220 po ang ships in early March, at dahil sa pag-uusap ni Chinese Ambassador [to the Philippines] Huang Xilian at ni President Duterte at sa ating warm relations with China, bumaba po ang numero. 136 po ang umalis. ‘Yung second batch ay another 65,"" presidential spokesperson Harry Roque said during his press briefing.","https://www.facebook.com/116724526976/posts/10160008274181977"
"GMA News","PH",2020-05-29,5324,"Beijing-based multilateral lender Asian Infrastructure Investment Bank announced that it has approved a $750-million loan to the Philippines to support the country’s response efforts against the COVID-19 pandemic and its lingering economic impact.","https://www.facebook.com/116724526976/posts/10158850016156977"
"BBC News","GB",2020-10-19,5275,"China is now leading the charge for a global recovery based on its latest financial data.","https://www.facebook.com/228735667216/posts/10158242331017217"
"CNN","US",2022-01-18,5044,"China is urging central banks in the West not to hike interest rates too fast to fight inflation as it goes in the other direction to battle a sharp economic slowdown.","https://www.facebook.com/5550296508/posts/10162546144576509"
"CNN","US",2021-11-03,4936,"Billionaire Charlie Munger is a big fan of how communist China manages its economy.","https://www.facebook.com/5550296508/posts/10162386208386509"
"GMA News","PH",2020-07-14,4781,"""We should never give up the fight for what is legally ours. We should never cower in fear from the harassment and political intimidation that foreign governments impose on us,"" Sotto said in a statement. He added that the Filipino people should prove its common desire to protect the country's ""sovereign jurisdiction."" ""What is unlawful can never be made lawful by the whims and caprices of a foreign power which treats the entire South China Sea as its territory. We shall never and should not shut up into giving up our offshore treasures,"" Sotto said.","https://www.facebook.com/116724526976/posts/10159033451341977"
"GMA News","PH",2021-05-01,4537,"Hinikayat ni retired Supreme Court Justice Antonio Carpio ang mga Pilipino na ""gisingin"" si Pangulong Duterte kaugnay ng pananatili ng Chinese vessels sa exclusive economic zone ng Pilipinas sa West Philippine Sea. “Shout out loud so that President Duterte will wake up from his sleep under his kulambo and admit to the nation the truth: China is not in possession of the West Philippine Sea,” ayon kay Carpio.","https://www.facebook.com/116724526976/posts/10160001353951977"
"GMA News","PH",2020-08-24,4534,"Defense Secretary Delfin Lorenzana said that it is the Chinese forces who practice illegal provocations in the resource-rich region, including its illegal occupation of areas within the Philippines' exclusive economic zone.","https://www.facebook.com/116724526976/posts/10159178121361977"
"GMA News","PH",2021-04-27,4479,"In his regular press conference on April 26, Chinese Foreign Ministry spokesman Wang Wenbin reiterated China's claims over Nansha Islands or Spratly Islands despite the 2016 UN Permanent Court of Arbitration ruling that said the islands were within Philippines' exclusive economic zone.","https://www.facebook.com/116724526976/posts/10159991044276977"
"GMA News","PH",2020-07-10,4415,"More than 60,000 new COVID-19 infections were reported across the United States on Wednesday, the greatest single-day tally by any country since the virus emerged late last year in China. US deaths rose by more than 900 for the second straight day.","https://www.facebook.com/116724526976/posts/10159017550276977"
"GMA News","PH",2021-05-10,4408,"Duterte's critics have been recalling his pronouncements in a presidential debate after he called the 2016 arbitral award which favored the Philippines' exclusive economic zone over China's historical claims ""a scrap of paper."" ""Panahon ng kampanya 'yan. 'Yung biro na 'yun, we call it bravado. 'Yung bravado ko was pure campaign joke and kung naniniwala kayo sa kabila, I would say that you are really stupid,"" Duterte said.","https://www.facebook.com/116724526976/posts/10160030240581977"
"NDTV","IN",2020-09-08,4297,"Rahul Gandhi launched a sharp attack on the government and PM Modi over the Chinese provocations.","https://www.facebook.com/102527030797/posts/10159144479820798"
"NDTV","IN",2022-09-21,4297,"The Indian economy currently is the fifth largest in the world, now only behind the US, China, Japan and Germany.","https://www.facebook.com/100064668314825/posts/478485537650386"
"GMA News","PH",2020-02-25,4296,"Labas-masok daw sa Exclusive Economic Zones ng ilang bansa pati na rin sa Pilipinas ang mga barko at bangka ng China! Samantala, nakita rin sa Pag-asa Island sa West Philippine Sea ang ilang Chinese vessels na tila pinaliligiran ang isla! Ano kaya ang pakay ng China sa mga teritoryong ito? Watch full episode here: http://bit.ly/37YvSvY:=:https://www.facebook.com/gmanews/videos/stand-for-truth-feb-25-2020-massage-parlor-na-may-extra-service-sa-makati-city-n/220414035812019/","https://www.facebook.com/116724526976/posts/611181323068910"
"CNA","SG",2020-03-20,4285,"Italy's death toll reached 3,405 after it recorded 427 new deaths on Wednesday.","https://www.facebook.com/93889432933/posts/10157226223942934"
"GMA News","PH",2021-04-26,4230,"Hindi bababa sa isang dosenang Chinese militia vessels ang namataan na naman sa Julian Felipe Reef sa West Philippine Sea na bahagi ng Exclusive Economic Zone ng Pilipinas, ayon sa datos mula sa Asia Maritime Transparency Initiative (AMTS). Ang tensyon sa West Philippine Sea, makailang beses na raw nangyari sa ating kasaysayan. Pero ang gobyerno, tila walang natutunan mula sa mga galawan ng China pagdating sa agawan ng teritoryo. Paano nga ba humantong sa ganito ang sitwasyon sa ating sariling teritoryo? Ano ang implikasyon nito sa ating soberanya? Panoorin ang video!","https://www.facebook.com/116724526976/posts/914999329279064"
"CNN","US",2023-10-18,4192,"Here are 5️⃣ things you need to know 👇 1️⃣ President Biden in Israel 2️⃣ House speaker race 3️⃣ US retail sales rise 4️⃣ Putin touts solidarity with China 5️⃣ Self-driving cars investigation","https://www.facebook.com/100059479812265/posts/714602413865746"
"GMA News","PH",2020-07-14,4145,"“We will agree to disagree on the arbitral award and we will proceed with our friendly relations,” presidential spokesperson Harry Roque said, citing economic and trade cooperation between Philippines and China. “They have been consistent in their position and so have we been.”","https://www.facebook.com/116724526976/posts/10159033032546977"
"CNA","SG",2022-09-19,4044,"""I no longer have manicures, I don't get my hair done anymore. I have gone to China-made for all my cosmetics,"" says a marketing consultant in Shanghai.","https://www.facebook.com/93889432933/posts/10159114886787934"
"CNA","SG",2022-11-01,3972,"Visitors to Shanghai Disney Resort are not allowed to leave until they test negative for COVID-19.","https://www.facebook.com/93889432933/posts/10159213351462934"
"GMA News","PH",2021-04-23,3935,"Hanggang ngayon, nasa teritoryo pa rin ng Pilipinas ang nasa 160 barko na galing sa China — na tila pagmamay-ari nila ang karagatang pasok sa Exclusive Economic Zone ng Pilipinas. Ang mga pangyayaring ‘yan, makailang beses na raw nangyari sa ating kasaysayan. Pero ang gobyerno, tila walang natutunan mula sa mga galawan ng China pagdating sa agawan ng teritoryo. Paano nga ba humantong sa ganito ang sitwasyon sa ating sariling teritoryo? Panoorin ang video!","https://www.facebook.com/116724526976/posts/166223425378176"
"GMA News","PH",2023-08-01,3926,"JUST IN: The Senate adopts a resolution ""strongly condemning the continued harassment of Filipino fishermen and the persistent incursions"" in the West Philippine Sea and urging the Philippine government to take appropriate action in asserting and securing Philippine sovereign rights over its exclusive economic zone. The resolution also calls on China to stop its illegal activities in accordance with the UNCLOS and the 2016 PCA arbitral ruling. The resolution takes into consideration Senator Risa Hontiveros' resolution which urges the DFA to bring China's incursion before the UNGA. | via Hana Bordey/GMA Integrated News","https://www.facebook.com/100064849986224/posts/685932180245109"
"CNN","US",2022-07-02,3709,"House and Senate Democrats have been at odds over the proposal, but the Kentucky Republican's threat could sink the effort altogether.","https://www.facebook.com/5550296508/posts/10162868437566509"
"NDTV","IN",2022-06-18,3699,"Some Chinese projects in Pakistan are facing problems in securing insurance for their loans in China due to Pakistan's massive energy sector circular debt of about USD 14 billion.","https://www.facebook.com/100064668314825/posts/402357431929864"
"CNN","US",2020-11-30,3672,"""Kim Jong Un appears to have kicked North Korea's pandemic prevention plan into overdrive, further tightening the country's nearly impassible borders, cutting off nearly all trade with China, and even allegedly executing a customs official for failing to handle imported goods appropriately,"" writes CNN's Josh Berlinger.","https://www.facebook.com/5550296508/posts/10161516872681509"
"GMA News","PH",2020-06-22,3668,"Pitong Chinese nationals ang inaresto at pina-deport pabalik ng China dahil sa unauthorized black sand mining sa Zambales at mga online investment scam.","https://www.facebook.com/116724526976/posts/10158943145211977"
"GMA News","PH",2023-09-26,3622,"Tinanggal na ng Philippine Coast Guard ang floating barriers ng China, na ipinangharang sa entrada ng Bajo De Masinloc sa West Philippine Sea. Inilagay ng China Coast Guard ang mga boya para pigilan ang mga Pilipino na makapangisda sa Bajo De Masinloc na nasa loob ng ating Exclusive Economic Zone! Basahin: https://www.gmanetwork.com/news/topstories/nation/883226/china-coast-guard-boat-chases-cuts-path-of-filipino-fishers-banca/story/","https://www.facebook.com/100064849986224/posts/720178566820470"
"GMA News","PH",2020-07-27,3594,"Watch the livestream of the fifth State of the Nation Address (SONA 2020) of President Rodrigo Duterte on July 27, 2020.","https://www.facebook.com/116724526976/posts/10159080594941977"
"CNA","SG",2021-03-30,3587,"Dr Balakrishnan's visit comes as Singapore and China cooperate to strengthen economic recovery following the COVID-19 pandemic, says MFA.","https://www.facebook.com/93889432933/posts/10158198881922934"
"BBC News","GB",2022-07-07,3553,"China is the ""biggest long-term threat to our economic and national security"", said the head of the US security service.","https://www.facebook.com/100064620046507/posts/424884349675563"
"GMA News","PH",2020-03-06,3512,"As calls for the closure of POGOs due to alleged crimes and corruption schemes involving Chinese nationals mount, Bangko Sentral ng Pilipinas Benjamin Diokno, who also chairs the Anti-Money Laundering Council, said that looking at the “benefit and cost” of the online gambling sector to the economy he is not in favor of their continued operations. “Kasi meron ding negative effect eh... prostitution, criminality... tsaka ‘yung problem sa AMLC negative din ‘yun sa atin,” Diokno said.","https://www.facebook.com/116724526976/posts/10158471054656977"
"News24.com","ZA",2020-03-04,3460,"South Africa is now ranked as the third country in the world, after China and India, in terms of having the highest reported incidents of economic crime.","https://www.facebook.com/10227041841/posts/10158376647936842"
